Key	Type	Desc	Thai
AchievementsLockedDescription/DefeatGlurch	Text		Đánh bại Glurch, Khối Nhầy Ghê Tởm
AchievementsLockedDescription/DefeatHivemother	Text		Đánh bại Mẹ Tổ
AchievementsLockedDescription/DefeatIgneous	Text		Đánh bại Igneous, Khối Nham Thạch
AchievementsLockedDescription/DefeatIvy	Text		Đánh bại Ivy, Khối Độc Hại
AchievementsLockedDescription/DefeatKingSlime	Text		Đánh bại Vua Slime
AchievementsLockedDescription/DefeatMalugaz	Text		Đánh bại Malugaz Kẻ Tha Hóa
AchievementsLockedDescription/DefeatMorpha	Text		Đánh bại Morpha, Khối Nước
AchievementsLockedDescription/DefeatNimruza	Text		Đánh bại Nimruza, Nữ Hoàng Cát Lún
AchievementsLockedDescription/DefeatOblidra	Text		Đánh bại Oblidra, Chúa Tể Hư Không
AchievementsLockedDescription/DefeatOmoroth	Text		Đánh bại Omoroth, Titan Biển Cả
AchievementsLockedDescription/DefeatPyrdra	Text		Đánh bại Pyrdra, Titan Lửa
AchievementsLockedDescription/DefeatRaAkar	Text		Đánh bại Ra-Akar, Titan Cát
AchievementsLockedDescription/DefeatSahabar	Text		Đánh bại S.A.H.A.B.A.R.
AchievementsLockedDescription/DefeatUrschleim	Text		Đánh bại Urschleim
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Khám phá 100 công thức trong sách nấu ăn
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Trang bị Nhẫn Rock và Nhẫn Stone
AchievementsLockedDescription/FeedCattle	Text		Cho gia súc ăn
AchievementsLockedDescription/FirstPet	Text		Ấp thú cưng đầu tiên của bạn từ trứng
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Đạt hơn 200% tốc độ di chuyển
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Thu hoạch một loại cây hoàng kim
AchievementsLockedDescription/KeyArtCharacter	Text		Mặc trang phục giống nhân vật trong các tranh minh họa chính thức
AchievementsLockedDescription/MaxedOutCooking	Text		Đạt 100 điểm kỹ năng nấu ăn
AchievementsLockedDescription/MaxedOutCrafting	Text		Đạt 100 điểm kỹ năng chế tạo
AchievementsLockedDescription/MaxedOutExplosives	Text		Đạt 100 điểm kỹ năng chất nổ
AchievementsLockedDescription/MaxedOutFishing	Text		Đạt 100 điểm kỹ năng câu cá
AchievementsLockedDescription/MaxedOutGardening	Text		Đạt 100 điểm kỹ năng làm vườn
AchievementsLockedDescription/MaxedOutMagic	Text		Đạt 100 điểm kỹ năng ma thuật
AchievementsLockedDescription/MaxedOutMelee	Text		Đạt 100 điểm kỹ năng cận chiến
AchievementsLockedDescription/MaxedOutMining	Text		Đạt 100 điểm kỹ năng khai thác
AchievementsLockedDescription/MaxedOutRange	Text		Đạt 100 điểm kỹ năng tầm xa
AchievementsLockedDescription/MaxedOutRunning	Text		Đạt 100 điểm kỹ năng chạy bộ
AchievementsLockedDescription/MaxedOutSummoning	Text		Đạt 100 điểm kỹ năng triệu hồi
AchievementsLockedDescription/MaxedOutVitality	Text		Đạt 100 điểm kỹ năng sinh lực
AchievementsLockedDescription/ObtainCredenceOfRuin	Text		Nhận được Tín Vật Tàn Tích
AchievementsLockedDescription/ObtainPhantomSpark	Text		Nhận được Tia Lửa Ảo Ảnh
AchievementsLockedDescription/ObtainRuneSong	Text		Nhận được Bài Ca Cổ Tự
AchievementsLockedDescription/ObtainSoulSeeker	Text		Nhận được Kẻ Săn Linh Hồn
AchievementsLockedDescription/ObtainStormbringer	Text		Nhận được Stormbringer
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Nhận được bộ bài Oracle
AchievementsLockedDescription/ObtainTitanBreath	Text		Nhận được Hơi Thở Titan
AchievementsLockedDescription/PetColors	Text		Cất giữ tất cả các biến thể màu sắc của một loại thú cưng trong rương
AchievementsLockedDescription/PetMaxLevel	Text		Đạt cấp độ tối đa cho thú cưng
AchievementsLockedDescription/PlantCherryTree	Text		Trồng 10 cây Anh Đào
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Ngồi trên bồn vệ sinh Caveling khi đang đội vương miện
AchievementsLockedDescription/StormSong	Text		Chơi Bản Nhạc Cuồng Phong
AchievementsLockedDescription/SummonManyMinions	Text		Có từ 8 tay sai trở lên đang hoạt động
AchievementsLockedDescription/TalkToBigLarva	Text		Trò chuyện với Ẩu Trùng Khổng Lồ
AchievementsLockedDescription/UseWayPoint	Text		Sử dụng một điểm dịch chuyển
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Đã câu được một Ốc Anh Vũ Tinh Tú
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Text		Đã đánh bại Sâu Atlantis
AchievementsUnlockedDescription/DefeatAzeos	Text		Đã đánh bại Azeos, Titan Bầu Trời
AchievementsUnlockedDescription/DefeatCoreCommander	Text		Đã đánh bại Chỉ Huy Lõi
AchievementsUnlockedDescription/DefeatCrydra	Text		Đã đánh bại Crydra, Titan Băng
AchievementsUnlockedDescription/DefeatDruidra	Text		Đã đánh bại Druidra, Titan Hoang Dã
AchievementsUnlockedDescription/DefeatGhorm	Text		Đã đánh bại Ghorm Kẻ Nuốt Chửng
AchievementsUnlockedDescription/DefeatGlurch	Text		Đã đánh bại Glurch, Khối Nhầy Ghê Tởm
AchievementsUnlockedDescription/DefeatHivemother	Text		Đã đánh bại Mẹ Tổ
AchievementsUnlockedDescription/DefeatIgneous	Text		Đã đánh bại Igneous, Khối Nham Thạch
AchievementsUnlockedDescription/DefeatIvy	Text		Đã đánh bại Ivy, Khối Độc Hại
AchievementsUnlockedDescription/DefeatKingSlime	Text		Đã đánh bại Vua Slime
AchievementsUnlockedDescription/DefeatMalugaz	Text		Đã đánh bại Malugaz Kẻ Tha Hóa
AchievementsUnlockedDescription/DefeatMorpha	Text		Đã đánh bại Morpha, Khối Nước
AchievementsUnlockedDescription/DefeatNimruza	Text		Đã đánh bại Nimruza, Nữ Hoàng Cát Lún
AchievementsUnlockedDescription/DefeatOblidra	Text		Đã đánh bại Oblidra, Chúa Tể Hư Không
AchievementsUnlockedDescription/DefeatOmoroth	Text		Đã đánh bại Omoroth, Titan Biển Cả
AchievementsUnlockedDescription/DefeatPyrdra	Text		Đã đánh bại Pyrdra, Titan Lửa
AchievementsUnlockedDescription/DefeatRaAkar	Text		Đã đánh bại Ra-Akar, Titan Cát
AchievementsUnlockedDescription/DefeatSahabar	Text		Đã đánh bại S.A.H.A.B.A.R.
AchievementsUnlockedDescription/DefeatUrschleim	Text		Đã đánh bại Urschleim
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Đã khám phá 100 công thức trong sách nấu ăn
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Đã trang bị Nhẫn Rock và Nhẫn Stone
AchievementsUnlockedDescription/FeedCattle	Text		Đã cho gia súc ăn
AchievementsUnlockedDescription/FirstPet	Text		Đã ấp thú cưng đầu tiên của bạn từ trứng
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Đã đạt hơn 200% tốc độ di chuyển
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Đã thu hoạch một loại cây hoàng kim
AchievementsUnlockedDescription/KeyArtCharacter	Text		Đã mặc trang phục giống nhân vật trong các tranh minh họa chính thức
AchievementsUnlockedDescription/MaxedOutCooking	Text		Đã đạt 100 điểm kỹ năng nấu ăn
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Đã đạt 100 điểm kỹ năng chế tạo
AchievementsUnlockedDescription/MaxedOutExplosives	Text		Đã đạt 100 điểm kỹ năng chất nổ
AchievementsUnlockedDescription/MaxedOutFishing	Text		Đã đạt 100 điểm kỹ năng câu cá
AchievementsUnlockedDescription/MaxedOutGardening	Text		Đã đạt 100 điểm kỹ năng làm vườn
AchievementsUnlockedDescription/MaxedOutMagic	Text		Đã đạt 100 điểm kỹ năng ma thuật
AchievementsUnlockedDescription/MaxedOutMelee	Text		Đã đạt 100 điểm kỹ năng cận chiến
AchievementsUnlockedDescription/MaxedOutMining	Text		Đã đạt 100 điểm kỹ năng khai thác
AchievementsUnlockedDescription/MaxedOutRange	Text		Đã đạt 100 điểm kỹ năng tầm xa
AchievementsUnlockedDescription/MaxedOutRunning	Text		Đã đạt 100 điểm kỹ năng chạy bộ
AchievementsUnlockedDescription/MaxedOutSummoning	Text		Đã đạt 100 điểm kỹ năng triệu hồi
AchievementsUnlockedDescription/MaxedOutVitality	Text		Đã đạt 100 điểm kỹ năng sinh lực
AchievementsUnlockedDescription/ObtainCredenceOfRuin	Text		Đã nhận được Tín Vật Tàn Tích
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Đã nhận được Tia Lửa Ảo Ảnh
AchievementsUnlockedDescription/ObtainRuneSong	Text		Đã nhận được Bài Ca Cổ Tự
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Đã nhận được Kẻ Săn Linh Hồn
AchievementsUnlockedDescription/ObtainStormbringer	Text		Đã nhận được Stormbringer
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Đã nhận được bộ bài Oracle
AchievementsUnlockedDescription/ObtainTitanBreath	Text		Đã nhận được Hơi Thở Titan
AchievementsUnlockedDescription/PetColors	Text		Đã cất giữ tất cả các biến thể màu sắc của một loại thú cưng trong rương
AchievementsUnlockedDescription/PetMaxLevel	Text		Đã đạt cấp độ tối đa cho thú cưng
AchievementsUnlockedDescription/PlantCherryTree	Text		Đã trồng 10 cây Anh Đào
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Đã ngồi trên bồn vệ sinh Caveling khi đang đội vương miện
AchievementsUnlockedDescription/StormSong	Text		Đã chơi Bản Nhạc Cuồng Phong
AchievementsUnlockedDescription/SummonManyMinions	Text		Đã có từ 8 tay sai trở lên đang hoạt động
AchievementsUnlockedDescription/TalkToBigLarva	Text		Đã trò chuyện với Ẩu Trùng Khổng Lồ
AchievementsUnlockedDescription/UseWayPoint	Text		Đã sử dụng một điểm dịch chuyển
Advanced	Text		Nâng cao
AvailableInEarlyAccess	Text		Sẽ khả dụng khi ra mắt Thử Nghiệm Sớm
BetaVersion	Text		{0} Phiên bản Thử nghiệm
BiomeNames/Crystal	Text		Biên Giới Lấp Lánh
BiomeNames/Desert	Text		Sa Mạc Khởi Đầu
BiomeNames/Excavation	Text		Vực Khai Phá
BiomeNames/Great Wall	Text		Đại Tường Thành
BiomeNames/Larva	Text		Hang Đất Sét
BiomeNames/Nature	Text		Vùng Hoang Dã Của Azeos
BiomeNames/None	Text		Không Xác Định
BiomeNames/Obsidian	Text		Không Xác Định
BiomeNames/Passage	Text		Lối Thông
BiomeNames/Sea	Text		Biển Chìm
BiomeNames/Slime	Text		Lòng Đất
BiomeNames/Stone	Text		Tàn Tích Bị Lãng Quên
BreastVanitySlot	Text		Ô trang phục ngực
CageCattle	Text		Bắt giữ gia súc
CanBePutIntoEnemySpawnerPlatform	Text		Khe đặt mô hình
CanBePutIntoEnemySpawnerPlatformDesc	Text		Đặt một mô hình quái thường (không phải boss) vào khe này và cấp điện cho Máy Tái Tạo Vật Chất sẽ tạo ra một bản sao của kẻ thù tương ứng.
CardinalDirections/East	Text		phía đông
CardinalDirections/North	Text		phía bắc
CardinalDirections/NorthEast	Text		đông bắc
CardinalDirections/NorthWest	Text		tây bắc
CardinalDirections/South	Text		phía nam
CardinalDirections/SouthEast	Text		đông nam
CardinalDirections/SouthWest	Text		tây nam
CardinalDirections/Undefined	Text		chưa xác định
CardinalDirections/West	Text		phía tây
CasualMode	Text		Nhẹ nhàng
CasualModeDesc	Text		Chạm trán những quái vật hiền lành hơn trong một thế giới thư giãn và dễ chịu.
CattleStatus/Full	Text		Vật nuôi rất vui vẻ, no nê và đang cho sản vật.
CattleStatus/FullBaby	Text		Thú non rất vui vẻ và đã ăn no.
CattleStatus/HungryCattleKelpFood	Text		Vật nuôi đang thèm tảo bẹ.
CattleStatus/HungryCattlePlantFood	Text		Vật nuôi đang thèm nông sản.
CattleStatus/HungryCritter	Text		Vật nuôi đang thèm côn trùng nhỏ.
CattleStatus/MediumHungry	Text		Vật nuôi đang vui vẻ, khá no và đang cho sản vật.
CattleStatus/MediumHungryBaby	Text		Thú non đang vui vẻ và khá no.
CattleStatus/NameFull	Text		{0} rất vui vẻ, no nê và đang cho sản vật.
CattleStatus/NameFullBaby	Text		{0} rất vui vẻ và đã ăn no.
CattleStatus/NameHungryCattleKelpFood	Text		{0} đang thèm tảo bẹ.
CattleStatus/NameHungryCattlePlantFood	Text		{0} đang thèm nông sản.
CattleStatus/NameHungryCritter	Text		{0} đang thèm côn trùng nhỏ.
CattleStatus/NameMediumHungry	Text		{0} đang vui vẻ, khá no và đang cho sản vật.
CattleStatus/NameMediumHungryBaby	Text		{0} đang vui vẻ và khá no.
Changelog Categories/audio	Text		Âm thanh
Changelog Categories/bugFixes	Text		Sửa lỗi
Changelog Categories/gameBalance	Text		Cân bằng game
Changelog Categories/gameplay	Text		Lối chơi
Changelog Categories/graphics	Text		Đồ họa
Changelog Categories/miscellaneous	Text		Khác
Changelog Categories/modding	Text		Modding
Changelog Categories/performance	Text		Hiệu năng
Changelog Entries/AFTilesDesc	Text		Phân cảnh Abiotic Factor giờ hiển thị chính xác nền đất đã cuốc thành Đất Đá đã cuốc (không còn hiển thị Đất Cỏ đã cuốc đè lên Đất Đá). Bản sửa lỗi này chỉ áp dụng cho các thế giới chưa tạo phân cảnh này trước khi cập nhật.
Changelog Entries/FenceMapColorsDesc	Text		Hàng rào gỗ sơn màu giờ đây hiển thị đúng màu trên bản đồ.
Changelog Entries/PS5VibrationNoStoppingDesc	Text		Sửa lỗi rung tay cầm không phải lúc nào cũng dừng hẳn.
Changelog Entries/activateAllContentArgumentDesc	Text		Thêm tham số “-activateallcontent” cho máy chủ chuyên dụng (dedicated server) để tự động kích hoạt tất cả các gói nội dung khả dụng. Nếu đưa tham số này vào tập lệnh khởi động, bạn không cần phải kích hoạt thủ công từng gói nội dung mới khi game có bản cập nhật. Xem ARGUMENTS.txt để biết thêm thông tin.
Changelog Entries/addCopyWorldSeedButtonDesc	Text		Giờ đây bạn có thể sao chép seed của thế giới bằng một cú nhấp chuột trong màn hình cài đặt thế giới.
Changelog Entries/addMissingDirtBiomeTracksDesc	Text		"""""""Thêm hai bản nhạc mới trong vùng Đất: ""Mysteries Uncovered"" và ""Light From Above"".""
""
""
"
Changelog Entries/addPotionAndCritterPouchDesc	Text		Thêm Túi Thuốc và Túi Sinh Vật để cung cấp không gian lưu trữ chuyên dụng cho các sinh vật nhỏ và thuốc.
Changelog Entries/addedAutomatedSystemsAndElectronicsDesc	Text		Thêm Hệ Thống Tự Động & Thiết Bị Điện Tử mới:
Changelog Entries/addedDirtRuins1SceneBackDesc	Text		Phân cảnh chứa phiến đá Ruins Arc giờ đã có thể xuất hiện tự nhiên trở lại trong thế giới.
Changelog Entries/addedEchoMapsDesc	Text		Thêm 8 Bản Đồ Tiếng Vang để đánh dấu các vị trí quan trọng trong thế giới.
Changelog Entries/addedExcavationBiomeDesc	Text		Biome Mới: Vực Khai Phá - Nằm ở cực bắc.
Changelog Entries/addedExcavationVoidSubbiomeDesc	Text		Sub-biome Hư Không mới của Vực Khai Phá.
Changelog Entries/addedFiveVoidEnemiesDesc	Text		Thêm 5 kẻ thù hư không:
Changelog Entries/addedLockedSolariteChestToFishingDesc	Text		Rương Solarite Khóa giờ đây có thể tìm thấy khi câu cá tại các vùng nước thuộc Biên Giới Lấp Lánh.
Changelog Entries/addedMiningMinionDesc	Text		Tay Sai Mới: Tay Sai Khai Thác - Triệu hồi một chiếc cúp để hỗ trợ bạn đào quặng.
Changelog Entries/addedNewExcavationMushroomDesc	Text		Biến thể nấm mới: Nấm Phát Sáng - Nằm ở sub-biome Hư Không của Vực Khai Phá.
Changelog Entries/addedNewRobotBossDesc	Text		Boss Mới: S.A.H.A.B.A.R. - Xuất hiện ở biome Vực Khai Phá.
Changelog Entries/addedOverTwentyNewDecorationsDesc	Text		Thêm hơn 20 vật phẩm trang trí mới.
Changelog Entries/addedScenesToOldBiomesDesc	Text		Thêm một số phân cảnh mới vào các biome hiện tại.
Changelog Entries/addedSevenNewWeaponsDesc	Text		Thêm 7 vũ khí mới:
Changelog Entries/addedSixAccessoriesDesc	Text		Thêm 6 phụ kiện mới:
Changelog Entries/addedSixArmorSetsDesc	Text		Thêm 6 bộ giáp mới:
Changelog Entries/addedSomeLargeDestructibleDescriptionsDesc	Text		Thêm mô tả cho một số vật thể lớn có thể phá hủy.
Changelog Entries/addedTenFigurinesDesc	Text		Thêm 10 mô hình mới cho các kẻ thù và boss mới.
Changelog Entries/addedThreeExcavationCrittersDesc	Text		Thêm 3 sinh vật nhỏ mới xuất hiện ở Vực Khai Phá.
Changelog Entries/addedThreeExcavationValuablesDesc	Text		Thêm 3 cổ vật mới chỉ có tại Vực Khai Phá.
Changelog Entries/addedThreeRobotEnemiesDesc	Text		Thêm 3 kẻ thù robot:
Changelog Entries/addedThreeWorkbenchesDesc	Text		Thêm 3 bàn chế tạo mới:
Changelog Entries/addedTitanShrinesDesc	Text		Thêm 6 Đền Thờ Titan:
Changelog Entries/addedTwoLegendaryWeaponsDesc	Text		Thêm 2 vũ khí huyền thoại mới:
Changelog Entries/addedTwoVanityHeadgearDesc	Text		Thêm 2 trang phục đầu trang trí mới:
Changelog Entries/addedVoidHydraDesc	Text		Hydra Mới: Chúa Tể Hư Không Oblidra - Xuất hiện ở biome Vực Khai Phá.
Changelog Entries/addedVoidMerchantDesc	Text		Thêm Thương Nhân Ngoại Tộc xuất hiện tại Vực Khai Phá. Thương nhân này có thể bán một số vật phẩm rất quan trọng!
Changelog Entries/additionalAnticipationSoundShroomanDesc	Text		Kẻ thù Shrooman (Người Nấm) giờ đây có thêm hiệu ứng âm thanh cảnh báo khi nó chuẩn bị tấn công.
Changelog Entries/adjustMinerHelmetSourcesDesc	Text		Tất cả các bộ phận của bộ thợ mỏ giờ đây rơi ra từ mọi nguồn đã từng rơi riêng lẻ trước đó.
Changelog Entries/allowColonInTranslationKeysDesc	Text		Các khóa văn bản chứa dấu ':' hiện được ánh xạ lại thành '_' khi khớp với tên TextDataBlock.
Changelog Entries/automationHealthRegenDesc	Text		Các mạch điện, băng chuyền, máy khoan, cửa, cần gạt, tháp pháo và tấm áp lực giờ đây sẽ tự phục hồi máu theo thời gian, tương tự như các vật thể có thể đặt khác.
Changelog Entries/babyCamelProducingTextDesc	Text		Giao diện vật nuôi không còn tuyên bố sai lệch rằng các con Drohmbledore non đang cho sản vật trước khi trưởng thành.
Changelog Entries/baitToLureChangeDesc	Text		Cập nhật đồ họa và đổi tên từ Mồi Câu thường (các loại chế tạo tại Bàn Câu Cá) thành Mồi Câu Giả.
Changelog Entries/baselineGoldenCropPlantChanceDesc	Text		Cả người chơi và hệ thống tự động hiện đều có tỷ lệ cơ bản để gieo trồng được nông sản hoàng kim.
Changelog Entries/beamWeaponsShowAimDesc	Text		"""""""Vũ khí được phân loại là ""vũ khí tia sáng"" giờ đây sẽ hiển thị hướng nhắm thông qua tâm ngắm. Các vũ khí bị ảnh hưởng là:""
""
""
"
Changelog Entries/bedPaintableAnywhereDesc	Text		Giường giờ đây có thể được sơn màu bình thường mà không bị ảnh hưởng bởi việc người chơi chọn gối hay ga trải giường khi sơn.
Changelog Entries/biomeSampleRaceConditionDesc	Text		Khắc phục lỗi tranh chấp tài nguyên (race condition) có thể dẫn đến việc truy cập bộ nhớ sau khi đã giải phóng.
Changelog Entries/biomeSpecificTerrariumsPaintableDesc	Text		Các bể sinh cảnh và bể cá đặc trưng theo biome hiện đã có thể sơn được màu.
Changelog Entries/blackStoneLanternGlowDesc	Text		Sửa lỗi Đèn Đá không phát sáng nếu được sơn bằng Cọ Sơn Đen.
Changelog Entries/blockedSortButtonPixelsDesc	Text		Sửa lỗi một phần của nút sắp xếp túi đồ không thể nhấp vào được khi ở chế độ Sáng Tạo.
Changelog Entries/bossCrystalsCanBeDeletedDesc	Text		Các vật phẩm Mắt Glurch, Sừng Ghorm và Trái Tim Pha Lê Bị Đánh Cắp giờ đây đã có thể bị thiêu hủy.
Changelog Entries/bossLootDropMissingOnLeaveDesc	Text		Sửa lỗi đôi khi boss không rơi chiến lợi phẩm nếu người chơi tử trận hoặc rời khỏi khu vực trong khi hiệu ứng biến mất của boss đang diễn ra.
Changelog Entries/bridgesHiddenUnderWallsDesc	Text		Sửa lỗi đôi khi các cây cầu bị vô hình sau khi phá vỡ các khối tường đặt trên chúng.
Changelog Entries/burnConditionChangeDesc	Text		Hiệu ứng bất lợi thiêu đốt giờ không phải lúc nào cũng làm mới khi có nguồn tác động mới, mà chỉ làm mới khi chúng có tổng sát thương lớn hơn sát thương thiêu đốt hiện tại còn lại.
Changelog Entries/cancelJoinGameCausesNullrefDesc	Text		Nhấn Hủy trên màn hình Tham Gia Trò Chơi ngay sau khi bắt đầu kết nối không còn khiến các lần thử tham gia trong tương lai bị hết thời gian chờ (timeout).
Changelog Entries/casualKeepsInventoryDesc	Text		Giữ nguyên túi đồ sau khi tử trận;
Changelog Entries/casualLargerParryWindowDesc	Text		Có thời gian đỡ đòn (parry) rộng hơn;
Changelog Entries/casualReducedHungerDrainDesc	Text		Giảm tốc độ tiêu hao thanh đói;
Changelog Entries/casualShorterPotionCooldownsDesc	Text		Có thời gian hồi chiêu của thuốc hồi máu và thuốc mana ngắn hơn.
Changelog Entries/cavelingGardenerAttacksDesc	Text		Khắc phục lỗi chu kỳ tấn công của Người Làm Vườn Caveling không hoạt động như dự kiến.
Changelog Entries/cavelingGardenerChaseDistanceDesc	Text		Người Làm Vườn Caveling giờ đây truy đuổi mục tiêu ở phạm vi cho phép chúng sử dụng đòn tấn công cận chiến hiệu quả.
Changelog Entries/ccBackgroundRuneDesc	Text		Sửa lỗi một số hiệu ứng hình ảnh không hiển thị ở giai đoạn thứ hai của boss cuối.
Changelog Entries/changeWorldInfoDesc	Text		Tên và biểu tượng lưu trữ của thế giới hiện tại giờ đây có thể thay đổi trong màn hình cài đặt thế giới.
Changelog Entries/chestGlowDesc	Text		Rương có vân bề mặt tự phát sáng giờ đây sẽ phát sáng trong bóng tối.
Changelog Entries/chineseFoldingScreensRotateAgainDesc	Text		Các tấm bình phong giờ đã có thể xoay hướng bình thường.
Changelog Entries/cicadaBossMaterializerDesc	Text		Mô hình Nimruza giờ không thể đặt vào Máy Tái Tạo Vật Chất.
Changelog Entries/ck11210	Text		CK 1.1.2.10 — Bản sửa lỗi khẩn cấp
Changelog Entries/ck1124	Text		CK 1.1.2.x - Bản vá ổn định sau cập nhật
Changelog Entries/ck1125	Text		CK 1.1.2.5 - Bản vá cập nhật engine
Changelog Entries/ck1126	Text		CK 1.1.2.6 - Engine update patch
Changelog Entries/ck1127	Text		CK 1.1.2.7 — Bản sửa lỗi khẩn cấp
