Key	English
AchievementsLockedDescription/DefeatSahabar	Defeat S.A.H.A.B.A.R.
AchievementsLockedDescription/DefeatUrschleim	Defeat Urschleim
AchievementsLockedDescription/Discover100CookBookRecipes	Discover 100 recipes in the cook book
AchievementsLockedDescription/EquipRingOfRockAndStone	Equip the Ring of Rock and Ring of Stone
AchievementsLockedDescription/FeedCattle	Feed cattle
AchievementsLockedDescription/FirstPet	Hatch your first pet from an egg
AchievementsLockedDescription/GainOver200MovementSpeed	Gain over 200% movement speed
AchievementsLockedDescription/HarvestGoldenIngredient	Harvest a golden plant
AchievementsLockedDescription/KeyArtCharacter	Dress like a character from the official illustrations
AchievementsLockedDescription/MaxedOutCooking	Gain 100 skill points in cooking
AchievementsLockedDescription/MaxedOutCrafting	Gain 100 skill points in crafting
AchievementsLockedDescription/MaxedOutExplosives	Gain 100 skill points in explosions
AchievementsLockedDescription/MaxedOutFishing	Gain 100 skill points in fishing
AchievementsLockedDescription/MaxedOutGardening	Gain 100 skill points in gardening
AchievementsLockedDescription/MaxedOutMagic	Gain 100 skill points in magic
AchievementsLockedDescription/MaxedOutMelee	Gain 100 skill points in melee
AchievementsLockedDescription/MaxedOutMining	Gain 100 skill points in mining
AchievementsLockedDescription/MaxedOutRange	Gain 100 skill points in range
AchievementsLockedDescription/MaxedOutRunning	Gain 100 skill points in running
AchievementsLockedDescription/MaxedOutSummoning	Gain 100 skill points in summoning
AchievementsLockedDescription/MaxedOutVitality	Gain 100 skill points in vitality
AchievementsLockedDescription/ObtainCredenceOfRuin	Obtain Credence of Ruin
AchievementsLockedDescription/ObtainPhantomSpark	Obtain Phantom Spark
AchievementsLockedDescription/ObtainRuneSong	Obtain Rune Song
AchievementsLockedDescription/ObtainSoulSeeker	Obtain Soul Seeker
AchievementsLockedDescription/ObtainStormbringer	Obtain Stormbringer
AchievementsLockedDescription/ObtainTheOracleDeck	Obtain the Oracle Card deck
AchievementsLockedDescription/ObtainTitanBreath	Obtain Titan Breath
AchievementsLockedDescription/PetColors	Store all color variations of one pet type in a chest
AchievementsLockedDescription/PetMaxLevel	Reach max level on a pet
AchievementsLockedDescription/PlantCherryTree	Plant 10 Cherry Trees
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Sit on a Caveling Toilet while wearing a crown
AchievementsLockedDescription/StormSong	Play the Tune of Tempest
AchievementsLockedDescription/SummonManyMinions	Have 8 or more active minions
AchievementsLockedDescription/TalkToBigLarva	Talk to a Big Larva
AchievementsLockedDescription/UseWayPoint	Use a waypoint
AchievementsUnlockedDescription/CatchStarlightNautilus	Caught a Starlight Nautilus
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Defeated an Atlantean Worm
AchievementsUnlockedDescription/DefeatAzeos	Defeated Azeos the Sky Titan
AchievementsUnlockedDescription/DefeatCoreCommander	Defeated the Core Commander
AchievementsUnlockedDescription/DefeatCrydra	Defeated Crydra the Ice Titan
AchievementsUnlockedDescription/DefeatDruidra	Defeated Druidra the Wild Titan
AchievementsUnlockedDescription/DefeatGhorm	Defeated Ghorm the Devourer
AchievementsUnlockedDescription/DefeatGlurch	Defeated Glurch the Abominous Mass
AchievementsUnlockedDescription/DefeatHivemother	Defeated The Hive Mother
AchievementsUnlockedDescription/DefeatIgneous	Defeated Igneous the Molten Mass
AchievementsUnlockedDescription/DefeatIvy	Defeated Ivy the Poisonous Mass
AchievementsUnlockedDescription/DefeatKingSlime	Defeated King Slime
AchievementsUnlockedDescription/DefeatMalugaz	Defeated Malugaz the Corrupted
AchievementsUnlockedDescription/DefeatMorpha	Defeated Morpha the Aquatic Mass
AchievementsUnlockedDescription/DefeatNimruza	Defeated Nimruza, Queen of the Burrowed Sands
AchievementsUnlockedDescription/DefeatOblidra	Defeated Oblidra the Void Lord
AchievementsUnlockedDescription/DefeatOmoroth	Defeated Omoroth the Sea Titan
AchievementsUnlockedDescription/DefeatPyrdra	Defeated Pyrdra the Fire Titan
AchievementsUnlockedDescription/DefeatRaAkar	Defeated Ra-Akar the Sand Titan
AchievementsUnlockedDescription/DefeatSahabar	Defeated S.A.H.A.B.A.R.
AchievementsUnlockedDescription/DefeatUrschleim	Defeated Urschleim
AchievementsUnlockedDescription/Discover100CookBookRecipes	Discovered 100 recipes in the cook book
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Equipped the Ring of Rock and Ring of Stone
AchievementsUnlockedDescription/FeedCattle	Fed cattle
AchievementsUnlockedDescription/FirstPet	Hatched your first pet from an egg
AchievementsUnlockedDescription/GainOver200MovementSpeed	Gained over 200% movement speed
AchievementsUnlockedDescription/HarvestGoldenIngredient	Harvested a golden plant
AchievementsUnlockedDescription/KeyArtCharacter	Dressed like a character from the official illustrations
AchievementsUnlockedDescription/MaxedOutCooking	Gained 100 skill points in cooking
AchievementsUnlockedDescription/MaxedOutCrafting	Gained 100 skill points in crafting
AchievementsUnlockedDescription/MaxedOutExplosives	Gained 100 skill points in explosions
AchievementsUnlockedDescription/MaxedOutFishing	Gained 100 skill points in fishing
AchievementsUnlockedDescription/MaxedOutGardening	Gained 100 skill points in gardening
AchievementsUnlockedDescription/MaxedOutMagic	Gained 100 skill points in magic
AchievementsUnlockedDescription/MaxedOutMelee	Gained 100 skill points in melee
AchievementsUnlockedDescription/MaxedOutMining	Gained 100 skill points in mining
AchievementsUnlockedDescription/MaxedOutRange	Gained 100 skill points in range
AchievementsUnlockedDescription/MaxedOutRunning	Gained 100 skill points in running
AchievementsUnlockedDescription/MaxedOutSummoning	Gained 100 skill points in summoning
AchievementsUnlockedDescription/MaxedOutVitality	Gained 100 skill points in vitality
AchievementsUnlockedDescription/ObtainCredenceOfRuin	Obtained Credence of Ruin
AchievementsUnlockedDescription/ObtainPhantomSpark	Obtained Phantom Spark
AchievementsUnlockedDescription/ObtainRuneSong	Obtained Rune Song
AchievementsUnlockedDescription/ObtainSoulSeeker	Obtained Soul Seeker
AchievementsUnlockedDescription/ObtainStormbringer	Obtained Stormbringer
AchievementsUnlockedDescription/ObtainTheOracleDeck	Obtained the Oracle Card deck
AchievementsUnlockedDescription/ObtainTitanBreath	Obtained Titan Breath
AchievementsUnlockedDescription/PetColors	Stored all color variations of one pet type in a chest
AchievementsUnlockedDescription/PetMaxLevel	Reached max level on a pet
AchievementsUnlockedDescription/PlantCherryTree	Planted 10 Cherry Trees
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Sat on a Caveling Toilet while wearing a crown
AchievementsUnlockedDescription/StormSong	Played the Tune of Tempest
AchievementsUnlockedDescription/SummonManyMinions	Had 8 or more active minions
AchievementsUnlockedDescription/TalkToBigLarva	Talked to a Big Larva
AchievementsUnlockedDescription/UseWayPoint	Used a waypoint
Advanced	Advanced
AvailableInEarlyAccess	Will be available at Early Access launch
BetaVersion	{0} Beta Version
BiomeNames/Crystal	The Shimmering Frontier
BiomeNames/Desert	The Desert of Beginnings
BiomeNames/Excavation	Breaker's Reach
BiomeNames/Great Wall	Great Wall
BiomeNames/Larva	The Clay Caves
BiomeNames/Nature	Azeos' Wilderness
BiomeNames/None	Unknown
BiomeNames/Obsidian	Unknown
BiomeNames/Passage	The Passage
BiomeNames/Sea	The Sunken Sea
BiomeNames/Slime	The Undergrounds
BiomeNames/Stone	The Forgotten Ruins
BreastVanitySlot	Chest vanity slot
CageCattle	Capture a cattle
CanBePutIntoEnemySpawnerPlatform	Figurine slot
CanBePutIntoEnemySpawnerPlatformDesc	Putting a non-boss figurine in the slot and powering the Materializer with electricity will create a clone of the enemy represented by the figurine.
CardinalDirections/East	east
CardinalDirections/North	north
CardinalDirections/NorthEast	north east
CardinalDirections/NorthWest	north west
CardinalDirections/South	south
CardinalDirections/SouthEast	south east
CardinalDirections/SouthWest	south west
CardinalDirections/Undefined	undefined
CardinalDirections/West	west
CasualMode	Casual
CasualModeDesc	Encounter gentler monsters in a relaxed, enjoyable setting.
CattleStatus/Full	The animal is very happy, full and producing.
CattleStatus/FullBaby	The young animal is very happy and full.
CattleStatus/HungryCattleKelpFood	The animal is hungry for kelp.
CattleStatus/HungryCattlePlantFood	The animal is hungry for crops.
CattleStatus/HungryCritter	The animal is hungry for small insects.
CattleStatus/MediumHungry	The animal is happy, fairly full and producing.
CattleStatus/MediumHungryBaby	The young animal is happy and fairly full.
CattleStatus/NameFull	{0} is very happy, full and producing.
CattleStatus/NameFullBaby	{0} is very happy and full.
CattleStatus/NameHungryCattleKelpFood	{0} is hungry for kelp.
CattleStatus/NameHungryCattlePlantFood	{0} is hungry for crops.
CattleStatus/NameHungryCritter	{0} is hungry for small insects.
CattleStatus/NameMediumHungry	{0} is happy, fairly full and producing.
CattleStatus/NameMediumHungryBaby	{0} is happy and fairly full.
Changelog Categories/audio	Audio
Changelog Categories/bugFixes	Bug Fixes
Changelog Categories/gameBalance	Game Balance
Changelog Categories/gameplay	Gameplay
Changelog Categories/graphics	Graphics
Changelog Categories/miscellaneous	Miscellaneous
Changelog Categories/modding	Modding
Changelog Categories/performance	Performance
Changelog Entries/AFTilesDesc	The Abiotic Factor scene now correctly shows any hoed ground as Stone hoed ground (it will no longer show hoed Turf ground on top of Stone ground). This fix will only be applied to worlds where this scene was not generated prior to the fix.
Changelog Entries/FenceMapColorsDesc	Painted Wood Fences now appear with the correct colors on the map.
Changelog Entries/PS5VibrationNoStoppingDesc	Fixed controller vibration not always stopping.
Changelog Entries/activateAllContentArgumentDesc	Added an “-activateallcontent” argument for dedicated server to automatically activate all available content bundles. If you include this argument in your startup script, you do not have to activate new content bundles individually when the game receives an update. See ARGUMENTS.txt for more information.
Changelog Entries/addCopyWorldSeedButtonDesc	It is now possible to copy a world's seed with a single click in the world settings screen.
Changelog Entries/addMissingDirtBiomeTracksDesc	"Added two new tracks in the Dirt biome: ""Mysteries Uncovered"" and ""Light From Above""."
Changelog Entries/addPotionAndCritterPouchDesc	Added Potion Pouch and Critter Pouch to provide dedicated storage for critters and potions.
Changelog Entries/addedAutomatedSystemsAndElectronicsDesc	Added new Automated Systems & Electronics:
Changelog Entries/addedDirtRuins1SceneBackDesc	The scene that contained the Ruins Arc stone slate can once again naturally spawn in the world.
Changelog Entries/addedEchoMapsDesc	Added 8 Echo-Maps that mark important locations in the world.
Changelog Entries/addedExcavationBiomeDesc	New Biome: Breaker's Reach - Found in the far north.
Changelog Entries/addedExcavationVoidSubbiomeDesc	New Breaker's Reach Void sub-biome.
Changelog Entries/addedFiveVoidEnemiesDesc	Added 5 void enemies:
Changelog Entries/addedLockedSolariteChestToFishingDesc	The Locked Solarite Chest can now be found in the waters of the Shimmering Frontier.
Changelog Entries/addedMiningMinionDesc	New Minion: Mining Minion - Spawn a pickaxe to help you mine.
Changelog Entries/addedNewExcavationMushroomDesc	New mushroom variant: the Glowing Mushroom - Found in the Breaker's Reach Void sub-biome.
Changelog Entries/addedNewRobotBossDesc	New Boss: S.A.H.A.B.A.R. - Found in the Breaker's Reach biome.
Changelog Entries/addedOverTwentyNewDecorationsDesc	Added more than 20 new pieces of decoration.
Changelog Entries/addedScenesToOldBiomesDesc	Added some new scenes to already existing biomes.
Changelog Entries/addedSevenNewWeaponsDesc	Added 7 new weapons:
Changelog Entries/addedSixAccessoriesDesc	Added 6 new accessories:
Changelog Entries/addedSixArmorSetsDesc	Added 6 new armor sets:
Changelog Entries/addedSomeLargeDestructibleDescriptionsDesc	Added descriptions to some large destructible objects.
Changelog Entries/addedTenFigurinesDesc	Added 10 new figurines for the new enemies and bosses.
Changelog Entries/addedThreeExcavationCrittersDesc	Added 3 new critters found in the Breaker's Reach.
Changelog Entries/addedThreeExcavationValuablesDesc	Added 3 new valuables exclusive to the Breaker's Reach.
Changelog Entries/addedThreeRobotEnemiesDesc	Added 3 robot enemies:
Changelog Entries/addedThreeWorkbenchesDesc	Added 3 new workbenches:
Changelog Entries/addedTitanShrinesDesc	Added 6 Titan Shrines:
Changelog Entries/addedTwoLegendaryWeaponsDesc	Added 2 new legendary weapons:
Changelog Entries/addedTwoVanityHeadgearDesc	Added 2 new vanity headgear:
Changelog Entries/addedVoidHydraDesc	New Hydra: Oblidra the Void Lord - Found in the Breaker's Reach biome.
Changelog Entries/addedVoidMerchantDesc	Added an Otherworldly Merchant found in the Breaker's Reach. This merchant may sell some very important items!
Changelog Entries/additionalAnticipationSoundShroomanDesc	The Shrooman enemy now has another anticipation sound effect that might play when it's preparing to attack.
Changelog Entries/adjustMinerHelmetSourcesDesc	All pieces of the Miner set now drop from all sources that dropped them individually before.
Changelog Entries/allowColonInTranslationKeysDesc	Text keys containing ':' are now remapped to '_' when matched to TextDataBlock names.
Changelog Entries/automationHealthRegenDesc	Circuits, conveyor belts, drills, doors, levers, turrets, and pressure plates now regenerate health over time, matching the behavior of other placeable objects.
Changelog Entries/babyCamelProducingTextDesc	The cattle UI no longer incorrectly claims that baby Drohmbledores are producing anything before growing up.
Changelog Entries/baitToLureChangeDesc	Updated the graphics and the names of Baits (the ones that can be crafted in the Fishing Workbench) to Lures.
Changelog Entries/baselineGoldenCropPlantChanceDesc	Both the player and automated systems now have a base chance for planting golden crops.
Changelog Entries/beamWeaponsShowAimDesc	"Weapons classified as ""beam weapons"" should now display their aiming direction via a crosshair cursor. The affected weapons are:"
Changelog Entries/bedPaintableAnywhereDesc	Beds can now correctly be painted regardless of if the player is selecting the pillow or the sheets when attempting to paint.
Changelog Entries/biomeSampleRaceConditionDesc	Fixed a race condition that could cause memory to be accessed after it had been deallocated.
Changelog Entries/biomeSpecificTerrariumsPaintableDesc	Biome-specific terrariums and aquariums are now paintable.
Changelog Entries/blackStoneLanternGlowDesc	Fixed an issue where the Stone Lantern wouldn't emit any glow if painted with a Black Paint Brush.
Changelog Entries/blockedSortButtonPixelsDesc	Fixed an issue where part of the inventory sort button was not clickable while in Creative mode.
Changelog Entries/bossCrystalsCanBeDeletedDesc	The Glurch Eye, Ghorm's Horn and Stolen Crystal Heart items can now be incinerated.
Changelog Entries/bossLootDropMissingOnLeaveDesc	Fixed an issue where bosses sometimes failed to drop their loot if the player died or left the area during the boss' death animation.
Changelog Entries/bridgesHiddenUnderWallsDesc	Fixed a bug where bridges would sometimes be invisible after wall blocks placed on top of them were broken.
Changelog Entries/burnConditionChangeDesc	Burn debuffs no longer always refresh on new applications, but only when they have more total damage than the current remaining burn debuff.
Changelog Entries/cancelJoinGameCausesNullrefDesc	Pressing Cancel on the Join Game screen immediately after starting to join no longer causes future join attempts to timeout.
Changelog Entries/casualKeepsInventoryDesc	Keeps inventory after death;
Changelog Entries/casualLargerParryWindowDesc	Has larger parry windows;
Changelog Entries/casualReducedHungerDrainDesc	Has a reduced hunger drain;
Changelog Entries/casualShorterPotionCooldownsDesc	Has shorter healing and mana potion cooldowns.
Changelog Entries/cavelingGardenerAttacksDesc	Resolved an issue where the Caveling Gardener’s attack pattern did not behave as intended.
Changelog Entries/cavelingGardenerChaseDistanceDesc	Caveling Gardeners now pursue targets at a range that allows them to use their melee attack effectively.
Changelog Entries/ccBackgroundRuneDesc	Fixed an issue where some visual effects would not play in the final boss' second phase.
Changelog Entries/changeWorldInfoDesc	The name and save icon of an existing world can now be changed in its world settings screen.
Changelog Entries/chestGlowDesc	Chests with emissive textures now glow in the dark.
Changelog Entries/chineseFoldingScreensRotateAgainDesc	Folding Screens can now correctly be rotated.
Changelog Entries/cicadaBossMaterializerDesc	The Nimruza Figurine can no longer be placed in the Materializer.
Changelog Entries/ck11210	CK 1.1.2.10 — Hotfix
Changelog Entries/ck1124	CK 1.1.2.x - Post-update stability patch
Changelog Entries/ck1125	CK 1.1.2.5 - Engine update patch
Changelog Entries/ck1126	CK 1.1.2.6 - Engine update patch
Changelog Entries/ck1127	CK 1.1.2.7 — Hotfix
Changelog Entries/ck1127Desc	This hotfix fixes some sources of crashes following the Unity 6 engine upgrade in 1.1.2.6. These fixes are based on player reports, and we do not know for sure if this addresses all crash sources. If you continue experiencing crashes, please get in touch using the community link on the game's main menu.
Changelog Entries/ck1128	CK 1.1.2.8 — Hotfix
Changelog Entries/ck1129	CK 1.1.2.9 — Stability Patch
Changelog Entries/ck1200	1.2.0.3 Major Update - Void & Voltage
Changelog Entries/ck1203	1.2.0.3 - Switch Hotfix
Changelog Entries/ck1204	1.2.0.4 - Hotfix
Changelog Entries/ck1205	1.2.0.5 - Stability Patch
Changelog Entries/ck1206	1.2.0.6 - Stability Patch
Changelog Entries/ck1207	1.2.0.7 - Stability Patch
Changelog Entries/ck1210	1.2.1.0 - Minor Update
Changelog Entries/ck1211	1.2.1.1 - Stability Patch
Changelog Entries/ck1212	1.2.1.2 - Hotfix
Changelog Entries/ck1213	1.2.1.3 - Stability Patch
Changelog Entries/ck121x	1.2.1.x - Stability Patch
Changelog Entries/clientAnimationTriggersPerfDesc	Clients now receive and process animation triggers from the server in a worker thread job instead of on the main thread.
Changelog Entries/closeMapGamepadOffhandDesc	Closing the map using the “back” button on a gamepad no longer triggers offhand item effects.
Changelog Entries/converterReflectionLoadTimeDesc	Improved how the game finds converters, reducing the game’s load time.
Changelog Entries/coreBossDeathEffectsOffsetDesc	Moving during the Core Commander's death animation no longer causes some particle effects to appear in the wrong location.
Changelog Entries/corruptedKoreanFontDesc	Fixed an issue that caused texts in Korean to be garbled.
Changelog Entries/craftingAuthoringRefactorDesc	CraftingAuthoring now uses a ModdedObjectID string when ObjectID is set to ObjectID.None, which will be converted to an ObjectID during runtime. Modders may use this change to add modded items to workbenches and similar items.
Changelog Entries/craftingParchmentMouseExploitDesc	It is no longer possible to avoid paying the full crafting cost for parchment recipes by holding some required items in the mouse slot when the crafting animation finishes.
Changelog Entries/creativeBiomeTitlesDesc	Biome titles are no longer shown while in Creative mode.
Changelog Entries/critterTransformDesc	Critters no longer clip through walls behind them.
Changelog Entries/crystalMerchantItemMissingDesc	Fixed a bug where the Nuclear Battery would sometimes not drop after defeating an Ancient Battle Arena.
Changelog Entries/crystalMeteorMissingSpriteDesc	Boulders in the Crystal Meteor scene are no longer invisible.
Changelog Entries/crystalSnailsCantDestroyDrillsDesc	Crystal Snails no longer destroy drills when moving.
Changelog Entries/cutsceneTheCoreLookupDesc	Fixed a lag spike when connecting to a world using a new character.
Changelog Entries/deathMarkerColorDesc	Player death markers on the map now have the same color as the marker for the player who perished there.
Changelog Entries/deathMarkerIncorrectNameDesc	Fixed an issue that caused the wrong player name to be displayed on grave map markers.
Changelog Entries/dedicatedServerSteamInitCrashDesc	Dedicated servers will no longer have a hard crash if Steam fails to initialize. Servers will instead close gracefully with an appropriate log message.
Changelog Entries/delayCircuitRefreshFixDesc	Resolved a bug where Delay Circuits failed to update if they were powered by an Electricity Stick and lost their secondary signal of 2 from another source.
Changelog Entries/destructibleWildernessDebrisDesc	Flower Vessel destructibles in Azeos’ Wilderness now correctly leave flower debris on the ground when destroyed.
Changelog Entries/detectSDLoadErrorDesc	Added a feature to detect more startup issues which may be caused by mods. The game will now try to restart without mods if possible.
Changelog Entries/dirtWaterFishingInCrystalDesc	Fishing in normal water in the Shimmering Frontier or Passage biomes no longer causes the player to get stuck when trying to pull up their catch.
Changelog Entries/disableMiniMapOnSceneUnloadDesc	The minimap no longer stays visible in the main menu after getting disconnected from a server.
Changelog Entries/disableSafeModeOnModDebugDesc	When playing on the moddebug Steam branch, the game no longer automatically restarts with mods disabled if a mod fails to load.
Changelog Entries/disallowAchievementsIfCheatingDesc	Steam Achievements will no longer trigger if use of console commands is detected during a game session.
Changelog Entries/dontAllowConsoleIfUsingGamepadDesc	Fixed an issue that caused the Quantum Console to open if a player using a gamepad clicked specific buttons.
Changelog Entries/dontRepeatShowConsoleHelpTextDesc	In game sessions where Quantum Console is enabled, after it has been opened once, players will only be prompted with a help text pop-up once. This pop-up will not appear in future sessions.
Changelog Entries/dontUnloadSprinklersDesc	Sprinklers now keep the ground watered even when no players are nearby.
Changelog Entries/dresserShadowAppearsCorrectWhenRotatedDesc	The Dresser's shadow now correctly rotates with the Dresser.
Changelog Entries/drillsDontDamageWalkableTilesDesc	Fixed an issue that caused drills to damage walkable tiles (e.g. Rails, Conveyor Belts).
Changelog Entries/dungeonGenerationSyncPointDesc	Fixed an issue that would cause a lag spike every time a new dungeon started generating. This issue was especially noticeable when starting a new world on a device with few cores.
Changelog Entries/electricalObjectsNowTryToSendEveryTickDesc	Electrical structures are now attempted to be sent to the client every server tick, reducing visual inconsistencies when powering on or off.
Changelog Entries/electricalUiImprovementsDesc	The Electrical UI now features a blinking lightning icon and an improved tooltip.
Changelog Entries/electricitySourcesNoLongerFlickerElectricityDesc	Fixed a long-standing issue where toggling/destroying electricity sources could cause one tick of zero electricity in connected components, even if connected to a second active source.
Changelog Entries/epicAchievementsStopWorkingDesc	Achievements no longer stop working after playing for more than one hour.
Changelog Entries/epicUnleashedCCTrophyDesc	Reduced the rarity of the Unleashed Core Commander Figurine from Legendary to Epic, meaning the item can now be deleted if desired.
Changelog Entries/excavDestructiblePlacementDesc	The Metal Industrial Box and the Reinforced Industrial Box no longer erroneously render in front of Wall Light Bulbs.
Changelog Entries/excavationPuzzleGauntletFixDesc	Updated a Breaker's Reach puzzle scene to prevent a soft lock. This fix will only be applied to worlds where this scene was not generated prior to the fix.
Changelog Entries/excavationPuzzleLeadFixDesc	Updated a Breaker's Reach puzzle scene pedestal to contain a Shrooman Brute Figurine instead of a non-figurine item. This fix will only be applied to worlds where this scene was not generated prior to the fix.
Changelog Entries/explosiveWallPoisonEffectDesc	Poison Berry Walls' explosions should now correctly apply the poison effect.
Changelog Entries/fallbackCloudSavesDesc	Fixed issues that prevented cloud saves from being accessed or updated.
Changelog Entries/fallbackCrossplayDesc	Fixed issues that prevented players from different storefronts or console generations from playing together.
Changelog Entries/fallbackFailsToStartDesc	Fixed issues that prevented the game from starting correctly.
Changelog Entries/fallbackFixCrashesDesc	Fixed some issues that were causing the game to crash.
Changelog Entries/fallbackGameInputDesc	Fixed issues with how the game receives controller input.
Changelog Entries/fallbackGraphicalIssuesDesc	Fixed some graphical issues.
Changelog Entries/fallbackHotfix	Hotfix
Changelog Entries/fallbackHotfixDesc	This update fixes one or more major issues in the game. To allow us to release it as quickly as possible, we have not translated the detailed changelog into English. Below you will find pre-translated descriptions of the type of issues we have fixed. Please see the English changelog for more details.
Changelog Entries/fallbackImproveStabilityDesc	Improved game stability.
Changelog Entries/fallbackInGameTextDesc	Fixed issues with in-game texts or translations.
Changelog Entries/fallbackLootDropsDesc	Fixed missing or incorrect loot drops.
Changelog Entries/fallbackModSupportDesc	Fixed issues with the game's mod support.
Changelog Entries/fallbackMultiplayerConnectivityDesc	Fixed issues that prevented players from connecting to each other in multiplayer.
Changelog Entries/fallbackMultiplayerDesc	Fixed some multiplayer issues.
Changelog Entries/fallbackNPCDesc	Improved NPC behavior.
Changelog Entries/fallbackPerformanceDesc	Fixed some performance issues.
Changelog Entries/fallbackPhysicsIssuesDesc	Fixed problems with the in-game physics.
Changelog Entries/fallbackSaveFilesDesc	Fixed issues that prevented save files from being loaded or written correctly.
Changelog Entries/fallbackSecurityDesc	Fixed security vulnerabilities.
Changelog Entries/fallbackUIDesc	Fixed issues with the in-game user interface.
Changelog Entries/fallbackUpdateLibrariesDesc	Updated libraries the game depends on.
Changelog Entries/fallbackUpdateUnityDesc	Updated the Unity game engine.
Changelog Entries/fallbackWorldGenerationDesc	Fixed issues with the world generation.
Changelog Entries/filtersWorkOnFishingNetsAndCritterCatcherDesc	Robot Arm filters now correctly apply when extracting items from Fishing Nets and Critter Catchers.
Changelog Entries/fiveContributorItemsDesc	Added 5 Contributor Items. These are items to celebrate the contributions someone made to the game or the community.
